Started at: Wed Nov 17 21:31:19 2021

Using random seed: 1637181079
Map: .\res\textures\testmap_no_walls_1024x512.png
FOLLOW_GREEN_FEROMONE: false
FOLLOW_RED_FEROMONE: false
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4 0 0 0
4.80001 0 0 0
7.20007 0 0 0
9.60012 0 0 0
12.0002 0 0 0
14.4002 0 0 0
16.8003 0 0 0
19.2003 0 0 0
21.6004 0 0 0
24.0005 0 0 0
26.4005 0 0 0
28.8006 0 0 0
31.2006 0 0 0
33.6004 0 0 0
36 0 0 0
38.3996 0 0 0
40.7992 0 0 0
43.1988 0 0 0
45.5984 0 0 0
47.998 0 0 0
50.3975 0 0 0
52.7971 0 0 0
55.1967 0 0 0
57.5963 0 0 0
59.9959 0 0 0
62.3955 0 0 0
64.7954 0 0 1
67.1959 0 0 1
69.5965 0 0 1
71.997 0 0 1
74.3975 0 0 2
76.798 0 0 3
79.1985 0 0 3
81.599 0 0 3
83.9995 0 0 3
86.4 1 1 2
88.8006 1 0 2
91.2011 1 0 2
93.6016 1 0 2
96.0021 1 0 2
98.4026 1 0 3
100.803 2 1 2
103.204 2 0 2
105.604 2 0 2
108.005 2 0 2
110.405 2 0 2
112.806 2 0 2
115.206 2 0 2
117.607 2 0 2
120.007 2 0 2
122.408 2 0 2
124.808 2 0 2
127.209 2 0 2
129.608 2 0 2
132.007 2 0 2
134.405 3 1 1
136.804 3 0 1
139.203 3 0 1
141.601 3 0 1
144 4 1 0
146.399 4 0 0
148.798 4 0 0
151.196 4 0 0
153.595 4 0 0
155.994 4 0 0
158.392 4 0 0
160.791 4 0 0
163.19 4 0 0
165.588 4 0 0
167.987 4 0 0
170.386 4 0 0
172.784 4 0 0
175.183 4 0 0
177.582 4 0 0
179.98 4 0 0
182.379 4 0 0
184.778 4 0 1
187.176 4 0 2
189.575 4 0 2
191.974 4 0 2
194.372 4 0 2
196.771 4 0 2
199.17 4 0 2
201.568 5 1 1
203.967 5 0 1
206.366 5 0 1
208.765 5 0 1
211.163 5 0 1
213.562 5 0 1
215.961 5 0 1
218.359 5 0 1
220.758 5 0 1
223.157 5 0 1
225.555 5 0 1
227.954 5 0 1
230.353 5 0 1
232.751 5 0 1
235.15 5 0 1
237.549 5 0 1
239.947 5 0 1
242.346 5 0 1
244.745 5 0 2
247.143 5 0 3
249.542 5 0 3
251.941 5 0 3
254.339 5 0 3
256.739 5 0 3
259.142 6 1 2
261.544 6 0 2
263.946 6 0 2
266.349 6 0 2
268.751 6 0 2
271.153 7 1 1
273.556 7 0 1
275.958 7 0 1
278.36 7 0 2
280.763 7 0 2
283.165 7 0 2
285.567 7 0 2
287.97 7 0 2
290.372 7 0 2
292.774 7 0 2
295.177 7 0 2
297.579 7 0 2
299.981 7 0 2
302.384 7 0 2
304.786 7 0 2
307.189 7 0 2
309.591 7 0 2
311.993 7 0 2
314.396 7 0 2
316.798 7 0 2
319.2 7 0 2
321.603 8 1 2
324.005 8 0 2
326.407 8 0 2
328.81 8 0 2
331.212 8 0 2
333.614 8 0 2
336.017 8 0 2
338.419 8 0 2
340.821 8 0 2
343.224 8 0 2
345.626 8 0 2
348.028 8 0 2
350.431 8 0 2
352.833 8 0 2
355.235 8 0 2
357.638 8 0 2
360.04 8 0 2
362.442 8 0 2
364.845 8 0 2
367.247 8 0 2
369.649 8 0 2
372.052 8 0 2
374.454 8 0 2
376.856 8 0 2
379.259 8 0 2
381.661 8 0 2
384.064 8 0 2
386.466 8 0 2
388.868 8 0 2
391.271 8 0 2
393.673 8 0 2
396.075 8 0 2
398.478 8 0 2
400.88 8 0 2
403.282 8 0 2
405.685 8 0 2
408.087 8 0 2
410.489 8 0 2
412.892 8 0 2
415.294 8 0 2
417.696 8 0 2
420.099 8 0 2
422.501 8 0 2
424.903 8 0 2
427.306 9 1 1
429.708 9 0 1
432.11 9 0 1
434.513 9 0 1
436.915 9 0 1
439.317 9 0 1
441.72 9 0 1
444.122 9 0 1
446.524 9 0 1
448.927 9 0 1
451.329 9 0 1
453.731 9 0 1
456.134 9 0 1
458.536 9 0 1
460.939 9 0 1
463.341 9 0 1
465.743 9 0 1
468.146 9 0 1
470.548 9 0 2
472.95 9 0 2
475.353 9 0 2
477.755 9 0 2
480.157 9 0 2
482.56 9 0 2
484.962 9 0 2
487.364 9 0 2
489.767 9 0 2
492.169 9 0 2
494.571 9 0 2
496.974 9 0 2
499.376 9 0 2
501.778 9 0 2
504.181 9 0 2
506.583 9 0 2
508.985 9 0 2
511.388 9 0 2
513.79 9 0 2
516.192 9 0 2
518.595 9 0 2
520.997 9 0 2
523.399 9 0 2
525.802 9 0 2
528.204 9 0 2
530.606 10 1 1
533.009 10 0 1
535.411 10 0 1
537.813 10 0 1
540.216 10 0 1
542.618 10 0 1
545.021 10 0 1
547.423 10 0 1
549.825 10 0 1
552.228 10 0 2
554.63 10 0 2
557.032 10 0 2
559.435 10 0 3
561.837 10 0 3
564.239 10 0 3
566.642 10 0 3
569.044 10 0 3
571.446 10 0 3
573.849 10 0 3
576.251 10 0 3
578.653 10 0 3
581.056 10 0 3
583.458 10 0 3
585.86 10 0 3
588.263 10 0 3
590.665 10 0 3
593.067 10 0 3
595.47 10 0 3
597.872 10 0 3
600.274 10 0 3
602.677 10 0 3
605.079 10 0 3
607.481 10 0 3
609.884 10 0 3
612.286 10 0 3
614.688 10 0 3
617.091 10 0 3
619.493 10 0 3
621.896 10 0 3
624.298 11 1 2
626.7 11 0 2
629.103 11 0 2
631.505 11 0 2
633.907 11 0 2
636.31 11 0 2
638.712 11 0 2
641.114 11 0 2
643.517 11 0 2
645.919 11 0 2
648.321 11 0 2
650.724 11 0 2
653.126 11 0 2
655.528 11 0 2
657.931 11 0 3
660.333 11 0 3
662.735 11 0 3
665.138 11 0 3
667.54 11 0 3
669.942 11 0 3
672.345 11 0 3
674.747 11 0 3
677.149 11 0 3
679.552 11 0 3
681.954 11 0 3
684.356 12 1 2
686.759 12 0 2
689.161 12 0 2
691.563 12 0 2
693.966 12 0 2
696.368 12 0 2
698.771 12 0 2
701.173 12 0 2
703.575 12 0 2
705.978 12 0 2
708.38 12 0 2
710.782 12 0 2
713.185 12 0 2
715.587 12 0 2
717.989 12 0 2
720.392 12 0 2
722.794 12 0 2
725.196 13 1 1
727.599 13 0 1
730.001 13 0 1
732.403 13 0 1
734.806 13 0 1
737.208 13 0 1
739.61 13 0 1
742.013 13 0 1
744.415 13 0 2
746.817 13 0 2
749.22 13 0 2
751.622 13 0 2
754.024 13 0 2
756.427 13 0 2
758.829 13 0 2
761.231 13 0 2
763.634 13 0 2
766.036 13 0 2
768.438 13 0 2
770.841 13 0 2
773.243 13 0 2
775.646 13 0 2
778.048 13 0 2
780.45 13 0 2
782.853 13 0 2
785.255 13 0 2
787.657 13 0 3
790.06 13 0 3
792.462 13 0 3
794.864 13 0 3
797.267 13 0 3
799.669 13 0 3
802.071 13 0 3
804.474 13 0 3
806.876 13 0 3
809.278 13 0 3
811.681 14 1 2
814.083 14 0 2
816.485 14 0 2
818.888 14 0 2
821.29 14 0 3
823.692 14 0 3
826.095 14 0 3
828.497 14 0 3
830.899 14 0 3
833.302 14 0 3
835.704 14 0 3
838.106 14 0 3
840.509 14 0 3
842.911 14 0 3
845.313 14 0 3
847.716 14 0 3
850.118 14 0 3
852.521 14 0 3
854.923 14 0 3
857.325 14 0 3
859.728 14 0 3
862.13 14 0 3
864.532 15 1 2
866.935 15 0 2
869.337 15 0 2
871.739 15 0 2
874.142 15 0 2
876.544 15 0 2
878.946 15 0 2
881.349 15 0 2
883.751 15 0 2
886.153 15 0 2
888.556 15 0 2
890.958 15 0 2
893.36 16 1 1
895.763 16 0 1
898.165 16 0 1
900.567 16 0 1
902.97 16 0 1
905.372 16 0 1
907.774 16 0 3
910.177 16 0 3
912.579 16 0 3
914.981 17 1 2
917.384 17 0 2
919.786 17 0 2
922.188 17 0 2
924.591 17 0 2
926.993 17 0 2
929.396 17 0 3
931.798 17 0 3
934.2 17 0 3
936.603 17 0 3
939.005 17 0 3
941.407 17 0 3
943.81 17 0 3
946.212 17 0 3
948.614 17 0 3
951.017 17 0 3
953.419 17 0 3
955.821 17 0 3
958.224 17 0 3
960.626 17 0 3
963.028 17 0 3
965.431 17 0 3
967.833 17 0 3
970.235 17 0 3
972.638 17 0 3
975.04 17 0 3
977.442 17 0 3
979.845 17 0 3
982.247 17 0 3
984.649 17 0 3
987.052 17 0 3
989.454 17 0 4
991.856 17 0 4
994.259 17 0 4
996.661 18 1 3
999.063 18 0 3
1001.47 18 0 3
1003.87 18 0 3
1006.27 18 0 3
1008.67 18 0 3
1011.08 18 0 3
1013.48 18 0 3
1015.88 18 0 3
1018.28 18 0 4
1020.68 18 0 4
1023.09 18 0 4
1025.49 18 0 4
1027.89 19 1 3
1030.29 19 0 3
1032.7 19 0 3
1035.1 19 0 3
1037.5 19 0 3
1039.9 19 0 3
1042.31 19 0 3
1044.71 19 0 3
1047.11 19 0 3
1049.51 19 0 3
1051.92 20 1 2
1054.32 20 0 2
1056.72 20 0 2
1059.12 20 0 2
1061.52 20 0 2
1063.93 20 0 2
1066.33 21 1 1
1068.73 21 0 1
1071.13 21 0 1
1073.54 21 0 1
1075.94 21 0 1
1078.34 21 0 1
1080.74 21 0 1
1083.15 21 0 1
1085.55 21 0 1
1087.95 21 0 1
1090.35 21 0 1
1092.75 21 0 1
1095.16 21 0 2
1097.56 21 0 2
1099.96 21 0 2
1102.36 21 0 2
1104.77 21 0 2
1107.17 21 0 2
1109.57 21 0 2
1111.97 21 0 2
1114.38 21 0 2
1116.78 21 0 2
1119.18 21 0 2
1121.58 21 0 2
1123.99 21 0 2
1126.39 21 0 2
1128.79 21 0 2
1131.19 21 0 2
1133.59 21 0 2
1136 21 0 2
1138.4 21 0 2
1140.8 21 0 2
1143.2 21 0 3
1145.61 21 0 3
1148.01 21 0 3
1150.41 21 0 3
1152.81 21 0 3
1155.22 21 0 3
1157.62 21 0 3
1160.02 22 1 2
1162.42 22 0 2
1164.83 22 0 2
1167.23 22 0 2
1169.63 22 0 2
1172.03 22 0 2
1174.43 22 0 3
1176.84 22 0 3
1179.24 22 0 3
1181.64 22 0 3
1184.04 22 0 3
1186.45 22 0 3
1188.85 22 0 3
1191.25 22 0 3
1193.65 22 0 4
1196.06 22 0 4
1198.46 22 0 4
1200.86 22 0 4
1203.26 22 0 4
1205.67 22 0 4
1208.07 22 0 4
1210.47 24 2 2
1212.87 24 0 2
1215.27 24 0 2
1217.68 24 0 2
1220.08 24 0 2
1222.48 24 0 2
1224.88 24 0 2
1227.29 25 1 1
1229.69 25 0 1
1232.09 25 0 1
1234.49 25 0 2
1236.9 25 0 2
1239.3 25 0 2
1241.7 25 0 2
1244.1 25 0 2
1246.5 25 0 2
1248.91 25 0 2
1251.31 25 0 2
1253.71 25 0 2
1256.11 25 0 3
1258.52 25 0 3
1260.92 25 0 3
1263.32 25 0 3
1265.72 25 0 3
1268.13 25 0 3
1270.53 25 0 3
1272.93 25 0 3
1275.33 25 0 3
1277.74 25 0 4
1280.14 25 0 4
1282.54 25 0 4
1284.94 25 0 4
1287.34 25 0 4
1289.75 26 1 3
1292.15 26 0 3
1294.55 26 0 3
1296.95 26 0 3
1299.36 26 0 3
1301.76 26 0 3
1304.16 26 0 3
1306.56 26 0 3
1308.97 26 0 3
1311.37 27 1 2
1313.77 27 0 2
1316.17 27 0 2
1318.58 27 0 2
1320.98 27 0 2
1323.38 27 0 2
1325.78 27 0 2
1328.18 27 0 2
1330.59 27 0 2
1332.99 27 0 3
1335.39 27 0 3
1337.79 27 0 3
1340.2 27 0 3
1342.6 27 0 3
1345 27 0 3
1347.4 27 0 3
1349.81 27 0 3
1352.21 27 0 3
1354.61 27 0 3
1357.01 27 0 3
1359.42 27 0 3
1361.82 27 0 3
1364.22 27 0 4
1366.62 27 0 4
1369.02 27 0 4
1371.43 27 0 4
1373.83 27 0 4
1376.23 27 0 4
1378.63 27 0 4
1381.04 27 0 4
1383.44 27 0 4
1385.84 27 0 4
1388.24 27 0 4
1390.65 27 0 4
1393.05 27 0 4
1395.45 27 0 4
1397.85 27 0 4
1400.25 27 0 4
1402.66 27 0 4
1405.06 27 0 4
1407.46 27 0 4
1409.86 27 0 4
1412.27 27 0 4
1414.67 29 2 2
1417.07 29 0 2
1419.47 29 0 2
1421.88 29 0 2
1424.28 29 0 2
1426.68 29 0 2
1429.08 29 0 2
1431.49 29 0 2
1433.89 29 0 2
1436.29 29 0 2
1438.69 29 0 2
1441.09 30 1 1
1443.5 30 0 1
1445.9 30 0 1
1448.3 30 0 1
1450.7 30 0 1
1453.11 30 0 1
1455.51 31 1 0
1457.91 31 0 0
1460.31 31 0 0
1462.72 31 0 0
1465.12 31 0 0
1467.52 31 0 0
1469.92 31 0 0
1472.33 31 0 0
1474.73 31 0 0
1477.13 31 0 0
1479.53 31 0 0
1481.93 31 0 0
1484.34 31 0 0
1486.74 31 0 0
1489.14 31 0 0
1491.54 31 0 0
1493.95 31 0 0
1496.35 31 0 0
1498.75 31 0 0
1501.15 31 0 0
1503.56 31 0 0
1505.96 31 0 1
1508.36 31 0 1
1510.76 31 0 1
1513.17 31 0 1
1515.57 31 0 1
1517.97 31 0 1
1520.37 31 0 1
1522.77 31 0 1
1525.18 31 0 1
1527.58 31 0 1
1529.98 31 0 1
1532.38 31 0 1
1534.79 31 0 1
1537.19 31 0 1
1539.59 31 0 1
1541.99 31 0 2
1544.4 31 0 2
1546.8 31 0 2
1549.2 31 0 3
1551.6 31 0 3
1554 31 0 3
1556.41 31 0 3
1558.81 31 0 3
1561.21 31 0 3
1563.61 31 0 3
1566.02 31 0 3
1568.42 31 0 3
1570.82 31 0 3
1573.22 31 0 3
1575.63 31 0 3
1578.03 31 0 3
1580.43 31 0 3
1582.83 31 0 3
1585.24 31 0 3
1587.64 31 0 3
1590.04 31 0 3
1592.44 31 0 3
1594.84 31 0 3
1597.25 31 0 3
1599.65 31 0 3
1602.05 31 0 3


