Started at: Thu Nov 18 01:08:43 2021

Using random seed: 1637194123
Map: .\res\textures\testmap_split_path_1024x512.png
FOLLOW_GREEN_FEROMONE: false
FOLLOW_RED_FEROMONE: false
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4 0 0 0
4.80001 0 0 0
7.20007 0 0 0
9.60012 0 0 0
12.0002 0 0 0
14.4002 0 0 0
16.8003 0 0 0
19.2003 0 0 0
21.6004 0 0 2
24.0005 0 0 3
26.4005 0 0 3
28.8006 0 0 3
31.2006 0 0 3
33.6004 0 0 4
36 0 0 4
38.3996 0 0 5
40.7992 0 0 5
43.1988 0 0 6
45.5984 0 0 6
47.998 0 0 7
50.3975 0 0 7
52.7971 0 0 7
55.1967 1 1 6
57.5963 1 0 8
59.9959 1 0 8
62.3955 1 0 9
64.7954 1 0 9
67.1959 1 0 9
69.5965 1 0 10
71.997 1 0 11
74.3975 1 0 11
76.798 2 1 11
79.1985 2 0 12
81.599 2 0 13
83.9995 2 0 13
86.4 2 0 14
88.8006 3 1 13
91.2011 3 0 13
93.6016 3 0 13
96.0021 3 0 14
98.4026 4 1 14
100.803 4 0 15
103.204 4 0 15
105.604 4 0 15
108.005 4 0 15
110.405 5 1 14
112.806 5 0 16
115.206 5 0 16
117.607 5 0 17
120.007 5 0 19
122.408 5 0 19
124.808 6 1 18
127.209 7 1 18
129.608 7 0 18
132.007 7 0 19
134.405 8 1 18
136.804 8 0 18
139.203 8 0 18
141.601 8 0 18
144 8 0 19
146.399 8 0 20
148.798 8 0 20
151.196 8 0 21
153.595 8 0 21
155.994 8 0 21
158.392 9 1 20
160.791 9 0 20
163.19 10 1 19
165.588 10 0 19
167.987 10 0 20
170.386 12 2 19
172.784 12 0 19
175.183 12 0 19
177.582 12 0 19
179.98 12 0 19
182.379 12 0 21
184.778 12 0 21
187.176 12 0 21
189.575 12 0 21
191.974 12 0 22
194.372 12 0 22
196.771 12 0 22
199.17 14 2 20
201.568 16 2 18
203.967 16 0 18
206.366 17 1 17
208.765 17 0 17
211.163 17 0 17
213.562 17 0 17
215.961 19 2 15
218.359 19 0 16
220.758 19 0 16
223.157 19 0 16
225.555 21 2 14
227.954 22 1 13
230.353 22 0 13
232.751 22 0 13
235.15 22 0 14
237.549 23 1 13
239.947 23 0 13
242.346 23 0 14
244.745 23 0 15
247.143 23 0 15
249.542 23 0 15
251.941 24 1 14
254.339 24 0 15
256.739 24 0 15
259.142 24 0 15
261.544 24 0 15
263.946 24 0 15
266.349 24 0 15
268.751 24 0 15
271.153 24 0 17
273.556 24 0 18
275.958 24 0 18
278.36 24 0 19
280.763 25 1 19
283.165 26 1 18
285.567 27 1 18
287.97 29 2 16
290.372 30 1 15
292.774 30 0 15
295.177 31 1 14
297.579 31 0 14
299.981 32 1 13
302.384 32 0 13
304.786 32 0 13
307.189 33 1 12
309.591 34 1 11
311.993 35 1 12
314.396 35 0 12
316.798 35 0 12
319.2 35 0 12
321.603 36 1 11
324.005 37 1 11
326.407 38 1 10
328.81 38 0 10
331.212 38 0 11
333.614 39 1 11
336.017 39 0 11
338.419 40 1 10
340.821 40 0 10
343.224 40 0 10
345.626 40 0 10
348.028 41 1 9
350.431 41 0 9
352.833 42 1 8
355.235 43 1 8
357.638 43 0 9
360.04 43 0 9
362.442 43 0 9
364.845 44 1 8
367.247 44 0 8
369.649 45 1 7
372.052 45 0 8
374.454 45 0 8
376.856 45 0 8
379.259 45 0 9
381.661 45 0 9
384.064 45 0 9
386.466 45 0 9
388.868 45 0 10
391.271 45 0 10
393.673 45 0 10
396.075 45 0 10
398.478 45 0 10
400.88 45 0 10
403.282 45 0 10
405.685 46 1 10
408.087 46 0 10
410.489 46 0 10
412.892 46 0 10
415.294 46 0 10
417.696 46 0 10
420.099 47 1 9
422.501 47 0 9
424.903 47 0 9
427.306 47 0 9
429.708 47 0 9
432.11 47 0 9
434.513 47 0 9
436.915 47 0 11
439.317 47 0 11
441.72 47 0 11
444.122 47 0 11
446.524 47 0 11
448.927 47 0 11
451.329 47 0 11
453.731 47 0 11
456.134 47 0 11
458.536 48 1 12
460.939 48 0 12
463.341 48 0 12
465.743 48 0 13
468.146 48 0 13
470.548 48 0 14
472.95 48 0 15
475.353 48 0 15
477.755 48 0 15
480.157 48 0 15
482.56 48 0 15
484.962 48 0 16
487.364 49 1 15
489.767 49 0 18
492.169 49 0 18
494.571 50 1 17
496.974 50 0 17
499.376 50 0 18
501.778 50 0 18
504.181 50 0 18
506.583 50 0 18
508.985 51 1 18
511.388 51 0 18
513.79 51 0 19
516.192 52 1 18
518.595 52 0 18
520.997 52 0 18
523.399 52 0 18
525.802 52 0 19
528.204 52 0 19
530.606 52 0 20
533.009 53 1 19
535.411 53 0 19
537.813 53 0 19
540.216 53 0 19
542.618 54 1 18
545.021 54 0 18
547.423 54 0 18
549.825 54 0 18
552.228 54 0 18
554.63 54 0 18
557.032 55 1 17
559.435 55 0 17
561.837 55 0 17
564.239 57 2 15
566.642 57 0 15
569.044 57 0 16
571.446 57 0 16
573.849 57 0 16
576.251 57 0 16
578.653 57 0 16
581.056 57 0 16
583.458 57 0 16
585.86 57 0 16
588.263 57 0 17
590.665 57 0 17
593.067 57 0 17
595.47 57 0 17
597.872 58 1 17
600.274 58 0 17
602.677 59 1 16
605.079 60 1 16
607.481 60 0 16
609.884 60 0 16
612.286 60 0 16
614.688 60 0 16
617.091 61 1 16
619.493 61 0 16
621.896 61 0 17
624.298 61 0 17
626.7 61 0 17
629.103 62 1 16
631.505 62 0 16
633.907 62 0 16
636.31 62 0 16
638.712 63 1 15
641.114 63 0 15
643.517 63 0 15
645.919 63 0 15
648.321 63 0 15
650.724 63 0 17
653.126 63 0 19
655.528 64 1 19
657.931 65 1 18
660.333 66 1 17
662.735 66 0 18
665.138 66 0 18
667.54 67 1 18
669.942 67 0 18
672.345 67 0 19
674.747 68 1 18
677.149 68 0 18
679.552 68 0 18
681.954 68 0 18
684.356 68 0 18
686.759 68 0 18
689.161 68 0 18
691.563 68 0 18
693.966 69 1 17
696.368 69 0 17
698.771 69 0 17
701.173 69 0 17
703.575 69 0 18
705.978 69 0 18
708.38 69 0 18
710.782 69 0 18
713.185 69 0 19
715.587 69 0 20
717.989 69 0 20
720.392 69 0 20
722.794 69 0 20
725.196 70 1 19
727.599 70 0 20
730.001 71 1 19
732.403 71 0 19
734.806 72 1 18
737.208 72 0 18
739.61 72 0 18
742.013 72 0 18
744.415 72 0 18
746.817 72 0 18
749.22 73 1 17
751.622 74 1 17
754.024 74 0 18
756.427 74 0 18
758.829 75 1 17
761.231 76 1 16
763.634 76 0 16
766.036 77 1 15
768.438 78 1 14
770.841 78 0 14
773.243 78 0 14
775.646 78 0 15
778.048 78 0 16
780.45 78 0 16
782.853 78 0 17
785.255 78 0 18
787.657 78 0 19
790.06 78 0 19
792.462 78 0 19
794.864 78 0 19
797.267 78 0 19
799.669 78 0 19
802.071 78 0 19
804.474 78 0 19
806.876 78 0 19
809.278 80 2 17
811.681 80 0 18
814.083 80 0 18
816.485 80 0 18
818.888 80 0 18
821.29 82 2 17
823.692 82 0 17
826.095 83 1 16
828.497 84 1 15
830.899 84 0 15
833.302 84 0 15
835.704 85 1 14
838.106 85 0 14
840.509 86 1 13
842.911 87 1 12
845.313 87 0 13
847.716 87 0 13
850.118 87 0 13
852.521 87 0 14
854.923 87 0 14
857.325 87 0 15
859.728 87 0 15
862.13 88 1 14
864.532 88 0 14
866.935 89 1 14
869.337 89 0 14
871.739 89 0 14
874.142 89 0 14
876.544 89 0 14
878.946 89 0 15
881.349 91 2 13
883.751 92 1 12
886.153 92 0 12
888.556 93 1 11
890.958 93 0 11
893.36 93 0 11
895.763 93 0 11
898.165 93 0 11
900.567 93 0 13
902.97 93 0 13
905.372 93 0 13
907.774 93 0 14
910.177 93 0 14
912.579 94 1 14
914.981 94 0 14
917.384 94 0 14
919.786 94 0 15
922.188 95 1 14
924.591 95 0 14
926.993 95 0 14
929.396 96 1 13
931.798 96 0 13
934.2 96 0 15
936.603 96 0 16
939.005 97 1 16
941.407 97 0 16
943.81 98 1 16
946.212 98 0 16
948.614 98 0 16
951.017 98 0 16
953.419 99 1 15
955.821 99 0 16
958.224 100 1 15
960.626 100 0 15
963.028 100 0 15
965.431 100 0 15
967.833 100 0 15
970.235 101 1 14
972.638 101 0 14
975.04 103 2 12
977.442 103 0 12
979.845 103 0 12
982.247 103 0 13
984.649 103 0 13
987.052 103 0 13
989.454 103 0 14
991.856 103 0 14
994.259 103 0 14
996.661 103 0 14
999.063 103 0 14
1001.47 103 0 15
1003.87 103 0 15
1006.27 103 0 15
1008.67 103 0 16
1011.08 103 0 16
1013.48 103 0 17
1015.88 103 0 18
1018.28 103 0 20
1020.68 103 0 20
1023.09 103 0 21
1025.49 103 0 21
1027.89 103 0 21
1030.29 103 0 21
1032.7 103 0 21
1035.1 103 0 21
1037.5 103 0 21
1039.9 103 0 21
1042.31 103 0 21
1044.71 103 0 21
1047.11 103 0 21
1049.51 104 1 20
1051.92 105 1 19
1054.32 105 0 19
1056.72 106 1 18
1059.12 106 0 18
1061.52 106 0 18
1063.93 106 0 18
1066.33 106 0 18
1068.73 108 2 16
1071.13 109 1 15
1073.54 109 0 15
1075.94 109 0 15
1078.34 109 0 15
1080.74 111 2 14
1083.15 111 0 14
1085.55 111 0 14
1087.95 111 0 15
1090.35 112 1 15
1092.75 112 0 17
1095.16 112 0 17
1097.56 112 0 17
1099.96 112 0 17
1102.36 112 0 17
1104.77 112 0 18
1107.17 113 1 17
1109.57 113 0 18
1111.97 113 0 18
1114.38 113 0 18
1116.78 113 0 18
1119.18 113 0 18
1121.58 113 0 18
1123.99 113 0 18
1126.39 116 3 15
1128.79 116 0 15
1131.19 116 0 16
1133.59 117 1 15
1136 117 0 15
1138.4 119 2 13
1140.8 120 1 12
1143.2 120 0 13
1145.61 120 0 13
1148.01 120 0 13
1150.41 120 0 13
1152.81 120 0 13
1155.22 120 0 14
1157.62 121 1 14
1160.02 122 1 13
1162.42 122 0 13
1164.83 122 0 13
1167.23 122 0 13
1169.63 123 1 12
1172.03 123 0 12
1174.43 123 0 12
1176.84 123 0 12
1179.24 123 0 13
1181.64 123 0 13
1184.04 123 0 13
1186.45 123 0 13
1188.85 123 0 13
1191.25 123 0 13
1193.65 123 0 13
1196.06 123 0 14
1198.46 123 0 14
1200.86 124 1 14
1203.26 124 0 14
1205.67 124 0 14
1208.07 125 1 13
1210.47 126 1 12
1212.87 127 1 11
1215.27 127 0 11
1217.68 127 0 11
1220.08 127 0 12
1222.48 127 0 12
1224.88 127 0 12
1227.29 128 1 12
1229.69 128 0 13
1232.09 128 0 13
1234.49 128 0 14
1236.9 128 0 14
1239.3 128 0 14
1241.7 128 0 16
1244.1 128 0 17
1246.5 128 0 17
1248.91 128 0 17
1251.31 128 0 17
1253.71 128 0 17
1256.11 129 1 16
1258.52 130 1 15
1260.92 130 0 16
1263.32 130 0 16
1265.72 130 0 16
1268.13 130 0 17
1270.53 130 0 17
1272.93 130 0 17
1275.33 130 0 17
1277.74 130 0 17
1280.14 131 1 16
1282.54 132 1 15
1284.94 132 0 15
1287.34 132 0 15
1289.75 132 0 15
1292.15 132 0 15
1294.55 132 0 15
1296.95 134 2 14
1299.36 134 0 14
1301.76 134 0 14
1304.16 134 0 14
1306.56 134 0 14
1308.97 134 0 15
1311.37 134 0 15
1313.77 135 1 15
1316.17 135 0 16
1318.58 135 0 17
1320.98 136 1 16
1323.38 136 0 16
1325.78 137 1 16
1328.18 137 0 16
1330.59 137 0 16
1332.99 137 0 16
1335.39 139 2 14
1337.79 139 0 15
1340.2 139 0 15
1342.6 139 0 15
1345 139 0 15
1347.4 139 0 15
1349.81 139 0 16
1352.21 139 0 17
1354.61 139 0 17
1357.01 139 0 17
1359.42 140 1 16
1361.82 140 0 16
1364.22 140 0 16
1366.62 141 1 15
1369.02 141 0 15
1371.43 141 0 15
1373.83 141 0 15
1376.23 144 3 12
1378.63 144 0 12
1381.04 144 0 12
1383.44 145 1 11
1385.84 145 0 12
1388.24 146 1 11
1390.65 146 0 11
1393.05 146 0 12
1395.45 146 0 12
1397.85 146 0 12
1400.25 147 1 11
1402.66 147 0 11
1405.06 147 0 12
1407.46 147 0 14
1409.86 147 0 15
1412.27 147 0 15
1414.67 147 0 17
1417.07 147 0 17
1419.47 147 0 17
1421.88 147 0 17
1424.28 147 0 17
1426.68 148 1 17
1429.08 148 0 17
1431.49 149 1 16
1433.89 149 0 18
1436.29 150 1 17
1438.69 150 0 17
1441.09 150 0 18
1443.5 150 0 18
1445.9 150 0 18
1448.3 151 1 20
1450.7 151 0 20
1453.11 151 0 21
1455.51 151 0 21
1457.91 151 0 21
1460.31 152 1 21
1462.72 152 0 21
1465.12 152 0 21
1467.52 153 1 20
1469.92 153 0 20
1472.33 153 0 20
1474.73 153 0 20
1477.13 153 0 20
1479.53 154 1 19
1481.93 154 0 19
1484.34 154 0 19
1486.74 155 1 18
1489.14 155 0 19
1491.54 156 1 18
1493.95 156 0 18
1496.35 156 0 18
1498.75 156 0 18
1501.15 156 0 18
1503.56 156 0 18
1505.96 156 0 18
1508.36 156 0 18
1510.76 156 0 18
1513.17 156 0 18
1515.57 157 1 17
1517.97 158 1 17
1520.37 158 0 17
1522.77 158 0 17
1525.18 158 0 17
1527.58 158 0 17
1529.98 158 0 18
1532.38 158 0 19
1534.79 159 1 18
1537.19 159 0 18
1539.59 160 1 18
1541.99 160 0 18
1544.4 160 0 18
1546.8 161 1 18
1549.2 161 0 18
1551.6 161 0 18
1554 163 2 16
1556.41 163 0 17
1558.81 163 0 17
1561.21 163 0 17
1563.61 164 1 16
1566.02 164 0 16
1568.42 164 0 16
1570.82 164 0 16
1573.22 164 0 17
1575.63 164 0 17
1578.03 164 0 17
1580.43 164 0 18
1582.83 164 0 18
1585.24 164 0 18
1587.64 165 1 17
1590.04 166 1 16
1592.44 166 0 16
1594.84 166 0 16
1597.25 167 1 15
1599.65 167 0 15
1602.05 167 0 16


