Started at: Tue Nov 16 18:00:22 2021

Using random seed: 1637082022
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,0
4.80001,2,2,20
7.20007,51,49,54
9.60012,120,69,65
12.0002,199,79,36
14.4002,273,74,33
16.8003,322,49,53
19.2003,384,62,10
21.6004,394,10,0
24.0005,394,0,0
26.4005,394,0,0
28.8006,394,0,0
31.2006,394,0,0
33.6004,394,0,0
36,394,0,0
38.3996,394,0,0
40.7992,394,0,0
43.1988,394,0,0


Started at: Tue Nov 16 18:08:05 2021

Using random seed: 1637082485
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food


Started at: Tue Nov 16 18:08:09 2021

Using random seed: 1637082489
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food


Started at: Tue Nov 16 18:12:42 2021

Using random seed: 1637082762
Map: res/textures/testmap_multifood_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,150
4.80001,163,163,637
7.20007,499,336,475
9.60012,688,189,292
12.0002,757,69,246
14.4002,793,36,235
16.8003,827,34,211
19.2003,845,18,204
21.6004,868,23,189
24.0005,886,18,176
26.4005,904,18,158
28.8006,919,15,145
31.2006,935,16,129
33.6004,941,6,125
36,945,4,142
38.3996,953,8,198
40.7992,962,9,322
43.1988,972,10,442
45.5984,983,11,585
47.998,990,7,756
50.3975,1001,11,883
52.7971,1008,7,944
55.1967,1024,16,929
57.5963,1042,18,911
59.9959,1079,37,874
62.3955,1115,36,838
64.7954,1177,62,776
67.1959,1245,68,708
69.5965,1307,62,646
71.997,1361,54,593
74.3975,1405,44,549
76.798,1456,51,498
79.1985,1492,36,462
81.599,1522,30,432
83.9995,1557,35,397
86.4,1585,28,369
88.8006,1610,25,344
91.2011,1628,18,326
93.6016,1650,22,304
96.0021,1662,12,292
98.4026,1675,13,279
100.803,1692,17,262
103.204,1698,6,256
105.604,1705,7,249
108.005,1716,11,238
110.405,1720,4,234
112.806,1729,9,225
115.206,1751,22,203
117.607,1769,18,185
120.007,1784,15,170
122.408,1790,6,164
124.808,1812,22,143
127.209,1836,24,122
129.608,1853,17,105
132.007,1860,7,103
134.405,1866,6,104
136.804,1872,6,107
139.203,1880,8,110
141.601,1883,3,118
144,1891,8,125
146.399,1895,4,148
148.798,1900,5,160
151.196,1905,5,179
153.595,1908,3,219
155.994,1911,3,265
158.392,1916,5,296
160.791,1920,4,339
163.19,1927,7,423
165.588,1973,46,564
167.987,2012,39,649
170.386,2046,34,705
172.784,2060,14,793
175.183,2093,33,877
177.582,2142,49,1009
179.98,2216,74,1145
182.379,2269,53,1272
184.778,2316,47,1334
187.176,2375,59,1407
189.575,2465,90,1398
191.974,2571,106,1368
194.372,2703,132,1301
